"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Mortlach Rare Old","8.44","0.45","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka All Malt","8.44","0.17","8","$$","SingleMalt-like","EF","E","Japan","Malt"
"GlenDronach 8yo The Hielan","8.43","0.36","9","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Old Pulteney 12yo","8.43","0.26","23","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Elgin 12yo","8.42","0.21","13","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Dufftown 18yo","8.42","0.14","4","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Teerenpeli 8yo","8.42","0.4","6","$$$$$","SingleMalt-like","EF","E","Finland","Malt"
"Bunnahabhain Darach Ur","8.41","0.31","10","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Craigellachie 14yo","8.38","0.28","6","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Glenlivet 15yo French Oak","8.38","0.25","17","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Macallan 15yo Fine Oak","8.38","0.52","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka Taketsuru 12yo","8.38","0.36","17","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Auchentoshan 18yo","8.37","0.37","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"BenRiach 12yo Horizons","8.37","0.30","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Deveron 12yo","8.36","0.29","6","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Special 08","8.36","0.31","3","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Glencadam Origin 1825 (NAS)","8.34","0.14","3","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Dufftown 15yo","8.34","0.20","6","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Grant 18yo","8.33","0.91","4","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage 1998 (2014)","8.33","0.63","10","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Tomatin 15yo","8.33","0.54","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Cragganmore 12yo","8.32","0.34","15","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Monkey Shoulder","8.32","0.40","16","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Glen Ord 12yo","8.32","0.25","6","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Teeling Small Batch (Rum Cask Finish)","8.31","0.41","19","$$","SingleMalt-like","EF","E","Ireland","Blend"
"Tullibardine 225 Sauternes Finish","8.31","0.38","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich Experimental Series IPA Cask Finish","8.30","0.54","7","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 1824 Amber","8.30","0.39","12","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Scapa 16yo","8.30","0.27","14","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Wemyss Malts Smooth Gentleman","8.30","0.09","3","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchentoshan 12yo","8.29","0.26","21","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Breton 21yo","8.29","0.43","3","$$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Old Pulteney Navigator","8.29","0.38","11","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Sullivans Cove Double Cask","8.29","0.52","13","$$$$","SingleMalt-like","EF","E","Tasmania","Malt"
"Stalk & Barrel Single Malt (All Casks)","8.28","0.39","12","$$$","SingleMalt-like","EF","F","Canada","Malt"
"Glenrothes Elders' Reserve","8.26","0.72","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Royal Brackla 12yo","8.26","0.47","12","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Black Art 1989","8.25","0.39","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Sherry Classic","8.24","0.87","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 10yo Fine Oak","8.24","0.30","17","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tobermory 10yo","8.23","0.42","20","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenfiddich Select Cask","8.22","0.38","10","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Teaninich 10yo (F&F)","8.22","0.29","4","","SingleMalt-like","EF","F","Scotland","Malt"
"Tomintoul 12yo Oloroso Sherry","8.22","0.54","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Strathisla 12yo","8.21","0.32","13","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullibardine 1993 Sauternes","8.21","0.32","5","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage 2001 (all bottlings)","8.19","0.62","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aberfeldy 12yo","8.18","0.32","18","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Moray 10yo Chardonnay Cask","8.16","0.56","9","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Arran Malt Robert Burns Single Malt","8.15","0.49","7","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Dalmore Valour","8.14","0.33","8","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Deanston 12yo","8.14","0.43","15","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Edradour 10yo","8.13","0.75","13","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Knappogue Castle 14yo Twin Wood","8.13","0.67","4","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Singleton of Dufftown Unité","8.13","0.27","4","$$","SingleMalt-like","EF","E","Scotland","Malt"
"BenRiach 15yo Sauternes Finish","8.12","0.51","3","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Garioch Virgin Oak","8.11","0.50","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchroisk 10yo (F&F)","8.10","0.19","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Gouden Carolus Single Malt","8.09","0.18","3","$$$$","SingleMalt-like","EF","E","Belgium","Malt"
"Miltonduff 10yo (F&F)","8.08","0.45","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullibardine 228 Burgundy Finish","8.08","0.36","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet 12yo","8.07","0.30","20","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Glendullan 12yo","8.04","0.41","13","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tomatin 12yo","8.03","0.46","17","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullamore Dew 10yo Single Malt","8.03","0.77","6","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Nikka Super","8.02","0.43","8","$$$","SingleMalt-like","EF","E","Japan","Malt"
"The Irishman Single Malt (NAS)","8.01","0.28","6","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Glenburgie 10yo (Gordon & MacPhail)","7.98","0.43","7","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Deveron 10yo (Macduff)","7.97","0.37","5","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet Founder's Reserve","7.96","0.43","12","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Millstone 8yo French Oak","7.96","0.65","4","$$$$","SingleMalt-like","EF","E","Netherlands","Malt"
"Singleton of Dufftown 12yo","7.94","0.44","9","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Santis Edition Sigel","7.93","0.86","7","$$$","SingleMalt-like","EF","E","Switzerland","Malt"
"Singleton of Glen Ord Signature","7.92","0.25","3","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Moray 12yo Chenin Blanc","7.88","0.74","6","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenrothes Select Reserve","7.83","0.32","13","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Scapa Skiren","7.83","0.55","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Penderyn Aur Cymru","7.73","0.58","8","$$$$","SingleMalt-like","EF","E","Wales","Malt"
"Speyside 10yo","7.72","0.63","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Special 01","7.62","0.42","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Glen Moray 16yo Chenin Blanc","7.60","0.53","4","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Santis Edition Säntis","7.57","0.84","7","$$$$","SingleMalt-like","EF","F","Switzerland","Malt"
"McClelland's Speyside Single Malt","6.72","0.44","6","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Kavalan Solist Moscatel Cask","9.24","0.17","3","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Midleton Barry Crockett Legacy","9.07","0.24","9","$$$$$","SingleMalt-like","GH","G","Ireland","Blend"
"Kirin 18yo (Fuji Sanroku)","8.94","0.55","3","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Bruichladdich Laddie Ten (Second Edition)","8.93","0.19","8","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kilkerran 12yo","8.93","0.19","11","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Teeling Silver Reserve 21yo Sauternes Finish","8.92","0.33","10","$$$$$","SingleMalt-like","GH","H","Ireland","Malt"
"Bruichladdich Laddie Twenty Two","8.86","0.25","10","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Balvenie 15yo Single Barrel (Cask)","8.85","0.24","22","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Compass Box Enlightenment","8.85","0.16","5","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glencadam 21yo","8.85","0.25","12","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Bruichladdich Laddie Ten","8.83","0.30","16","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenmorangie Tusail","8.83","0.34","11","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt Orkney Bere Barley","8.82","0.31","8","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton Ice 17yo","8.82","0.12","3","$$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Glencadam 30yo","8.82","0.19","3","$$$$$+","SingleMalt-like","GH","H","Scotland","Malt"
"Benromach 5yo","8.81","0.17","4","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kavalan Podium","8.81","0.35","7","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Macallan 17yo Fine Oak","8.80","0.55","9","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackinlay 'Shackleton' Rare Old Highland Malt Whisky","8.80","0.35","17","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Yamazaki Bourbon Barrel","8.8","0.23","9","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Kilkerran Work in Progress Bourbon Wood","8.78","0.42","10","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hakushu 10yo","8.77","0.25","4","$$$","SingleMalt-like","GH","H","Japan","Malt"
"Old Pulteney 21yo","8.77","0.48","15","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Bruichladdich Laddie Sixteen","8.75","0.22","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenfiddich 26yo Excellence","8.72","0.46","6","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Hakushu 12yo","8.72","0.21","18","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"BenRiach Cask Strength","8.70","0.40","5","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Westland Garryana","8.70","0.17","5","$$$$$","SingleMalt-like","GH","G","USA","Malt"
"Dalwhinnie 15yo","8.69","0.34","18","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"AnCnoc 16yo","8.68","0.34","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt 14yo","8.68","0.26","20","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Inchgower 14yo (F&F)","8.68","0.45","7","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tullibardine 20yo","8.67","0.29","4","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt 12yo Cask Strength (all editions)","8.65","0.38","12","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Mackmyra The First Edition (Den Första Utgåvan)","8.65","0.36","17","$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Yamazaki Puncheon","8.65","0.23","10","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"AnCnoc 12yo","8.63","0.32","18","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Yamazaki 12yo","8.63","0.28","21","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Hibiki 12yo","8.62","0.24","19","$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Stronachie 18yo","8.62","0.26","5","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Linkwood 12yo (F&F)","8.60","0.35","6","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Mackmyra Preludium 03","8.60","0.86","5","$$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Nikka Miyagikyo NAS","8.60","0.24","5","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Longrow 10yo","8.58","0.40","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"BenRiach 10yo","8.57","0.17","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kilkerran Work in Progress","8.56","0.32","13","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Spirit of Hven Urania","8.56","0.46","3","$$$$$+","SingleMalt-like","GH","H","Sweden","Malt"
"Aultmore 18yo","8.54","0.19","5","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Caol Ila 15yo Unpeated","8.54","0.41","8","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton Battle of the Glen 15yo","8.53","0.27","7","$$$$$","SingleMalt-like","GH","G","Canada","Malt"
"GlenDronach 14yo Virgin Oak","8.53","0.32","10","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomatin Cu Bocan Virgin Oak Edition","8.53","0.44","3","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Arran Malt 10yo","8.51","0.29","20","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Knappogue Castle 12yo","8.51","0.39","12","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Mackmyra Special 07","8.51","0.50","7","$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Glenmorangie 10yo","8.50","0.44","23","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Ichiro's Malt Chichibu The First","8.50","0.37","12","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Aultmore 12yo","8.48","0.21","12","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Macallan 12yo Fine Oak","8.48","0.40","14","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Sheep Dip Blended Malt","8.47","0.32","11","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glendalough 13yo Single Malt","8.46","0.25","7","$$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Yamazaki NAS","8.46","0.24","6","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"FEW Single Malt","8.45","0.53","6","$$$$","SingleMalt-like","GH","G","USA","Malt"
"Glencadam 10yo","8.45","0.43","12","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glencadam 15yo","8.45","0.41","10","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Ichiro's Malt Chichibu The Floor Malted","8.45","0.41","5","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Mackmyra Brukswhisky","8.45","0.60","9","$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Talisker Skye","8.45","0.25","11","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Amrut Indian Single Malt","8.44","0.46","14","$$$","SingleMalt-like","GH","G","India","Malt"
"BenRiach 12yo","8.44","0.25","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"AnCnoc Peter Arkle (all releases)","8.43","0.29","8","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Classic (Edition 01)","8.43","0.56","6","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Craigellachie 13yo","8.43","0.40","12","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kavalan Single Malt Whisky","8.43","0.50","17","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Glenkinchie Distiller's Edition (all editions)","8.42","0.26","13","$$$$","SingleMalt-like","GH","B","Scotland","Malt"
"Kavalan King Car Conductor","8.42","0.38","8","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Benromach Traditional","8.41","0.44","11","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Wemyss Malts The Hive","8.41","0.21","13","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Classic Laddie Scottish Barley","8.39","0.44","8","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenrothes Alba Reserve","8.39","0.15","8","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Balblair 2000","8.38","0.32","9","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Grant 12yo","8.38","0.59","6","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Hazelburn 8yo (Springbank)","8.38","0.39","11","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hibiki Harmony","8.38","0.60","15","$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Strathmill 12yo","8.38","0.28","3","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomatin Cask Strength","8.36","0.45","10","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Garioch Founder's Reserve","8.35","0.37","16","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Grant 10yo (G&M)","8.35","0.26","3","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Mackmyra Special 02","8.34","0.69","3","$$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Mackmyra Svensk Ek","8.34","0.23","3","$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Hakushu NAS","8.32","0.36","5","$$$","SingleMalt-like","GH","H","Japan","Malt"
"Tomintoul 16yo","8.31","0.43","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Wolfburn (NAS)","8.31","0.37","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Cardhu Amber Rock","8.29","0.27","4","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Highland Park Harald","8.29","0.41","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Grant 10yo","8.28","0.49","8","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glenfiddich 1963 Original Malt","8.28","0.46","7","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenkinchie 12yo","8.28","0.16","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Macallan 1824 Gold","8.27","0.27","15","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tullibardine Vintage 1993","8.27","0.44","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Auchentoshan Valinch","8.25","0.61","12","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glengoyne 10yo","8.25","0.31","12","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mannochmore 12yo (F&F)","8.25","0.15","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Nikka Taketsuru NAS","8.25","0.33","6","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"St George's Chapter 6 (unpeated)","8.25","0.47","10","$$$","SingleMalt-like","GH","G","England","Malt"
"Tamdhu 10yo","8.25","0.59","16","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan Virgin Oak","8.23","0.55","7","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"BenRiach 20yo","8.23","0.72","9","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"The Quiet Man 8yo Single Malt","8.23","0.53","5","$$$","SingleMalt-like","GH","H","Ireland","Malt"
"White Oak Akashi 5yo","8.23","0.59","8","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Highland Park Svein","8.22","0.37","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glendalough 7yo Single Malt","8.21","0.30","6","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Teerenpeli 10yo","8.21","0.39","5","$$$$$","SingleMalt-like","GH","H","Finland","Malt"
"Ichiro's Malt Mizunara Wood Reserve (MWR)","8.20","0.51","8","$$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Bushmills 10yo Single Malt","8.19","0.29","19","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Deanston Virgin Oak","8.19","0.45","13","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Breton Ice 10yo","8.19","0.62","7","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Glenlossie 10yo (F&F)","8.19","0.30","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tullibardine Sovereign","8.19","0.25","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Nikka Gold & Gold","8.18","0.34","7","$$$","SingleMalt-like","GH","G","Japan","Malt"
"Stronachie 12yo","8.17","0.3","8","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tormore 14yo","8.17","0.32","5","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tyrconnell Single Malt Irish Whiskey","8.17","0.38","14","$$","SingleMalt-like","GH","H","Ireland","Malt"
"Glenrothes Bourbon Cask Reserve","8.16","0.17","3","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomatin Legacy","8.16","0.46","10","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackmyra Midnattssol","8.14","0.72","5","$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Cardhu 12yo","8.12","0.44","19","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glenfiddich 12yo","8.11","0.23","24","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Knappogue Castle Vintage","8.11","0.78","5","$$$","SingleMalt-like","GH","H","Ireland","Malt"
"Glenturret 10yo","8.10","0.52","11","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomatin Cu Bocan","8.09","0.33","11","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Arran Malt Lochranza Reserve","8.08","0.55","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton 14yo","8.08","0.62","6","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Speyburn 10yo","8.08","0.33","18","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Hibiki Harmony Master's Select","8.06","1.04","3","$$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Tullibardine Aged Oak Edition","8.05","0.43","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton Rare 10yo","8.04","0.45","13","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Glen Spey 12yo (F&F)","8.04","0.43","5","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Moray 12yo","8.03","0.29","12","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Moray Classic","7.98","0.23","5","$","SingleMalt-like","GH","G","Scotland","Malt"
"Kilbeggan Irish Reserve Malt Whiskey","7.98","0.53","6","$$","SingleMalt-like","GH","G","Ireland","Malt"
"White Oak Akashi Single Malt (NAS)","7.95","0.48","7","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Knockando 12yo (All Vintages)","7.94","0.41","12","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Pig's Nose 5yo Blended Malt","7.94","0.40","3","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Grant The Major's Reserve","7.92","0.66","9","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan Classic","7.90","0.48","8","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Speyside 12yo","7.87","0.61","10","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tormore 12yo","7.86","0.37","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomintoul 10yo","7.84","0.32","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Auchentoshan 10yo","7.77","0.37","10","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"BenRiach Heart of Speyside","7.73","0.87","7","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tamnavulin 12yo","7.69","0.83","4","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Loch Lomond","7.63","0.45","10","$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan American Oak","7.61","0.87","7","$$","SingleMalt-like","GH","H","Scotland","Malt"
"McClelland's Highland Single Malt","7.11","0.52","7","$$","SingleMalt-like","GH","G","Scotland","Malt"
"McClelland's Lowland Single Malt","7.03","0.53","4","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Talisker 35yo","9.33","0.36","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 30yo","9.30","0.19","10","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 30yo","9.20","0.32","13","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 18yo","9.18","0.21","16","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 16yo Local Barley","9.09","0.16","10","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 11yo Local Barley","9.06","0.2","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park Sigurd","9.04","0.29","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban 21yo","9.04","0.24","5","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1994","9.03","0.35","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Yoichi 15yo","8.98","0.26","14","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Talisker 25yo","8.98","0.3","15","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box The Lost Blend","8.96","0.24","12","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1991","8.96","0.15","3","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Port Charlotte PC10 Tro Na Linntean","8.96","0.45","9","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 18yo","8.96","0.18","17","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart","8.95","0.36","19","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Bourbon Single Cask","8.95","0.24","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 57 North","8.95","0.2","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1995","8.94","0.31","9","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Distiller's Edition (all editions)","8.94","0.25","20","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Tomatin Cu Bocan 1989 Limited Edition","8.94","0.24","4","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Elements of Islay ""Peat""","8.92","0.19","5","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Port Charlotte PC11 Eorna Na H-Alba","8.92","0.27","4","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
